,desafio,q1,q2,q3,q4,total,obs.:
AlexandreLJr,0.0,0.0,0.0,0.0,1.17,1.17,
Algusto-RC,0.0,0.0,0.0,0.0,0.0,0.0,
Alyssawbf,0.0,0.0,0.0,0.0,0.0,0.0,
Amandaaaaabreu,0.0,6.0,6.0,0.0,0.0,12.0,
AndreMeyerr,0.0,6.0,0.0,0.0,0.0,6.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
Angelicahaas,2.67,0.0,2.22,2.0,3.5,10.39,
ArthurGuilher62,0.0,2.0,5.0,6.0,2.33,15.33,
ArturDCR,0.0,6.0,0.0,0.0,0.0,6.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
Atyrson,0.0,0.0,0.0,0.0,0.0,0.0,
Bertolazi,0.0,6.0,6.0,0.0,0.0,12.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
Bessazs,0.0,6.0,6.0,0.0,0.0,12.0,
BiancaPatrocinio7,0.0,6.0,5.0,6.0,7.0,24.0,
Brenofrds,0.0,6.0,6.0,0.0,0.0,12.0,lox/grammar.lark
CDGodoy,0.0,6.0,0.0,0.0,0.0,6.0,
Camile0318,0.0,0.0,0.0,0.0,0.0,0.0,
DanielRogs,10.0,6.0,6.0,0.0,0.0,22.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
Danizelle,10.0,0.0,0.0,0.0,0.0,10.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
DaviRogs,10.0,6.0,6.0,0.0,0.0,22.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
DiegoSousaLeite,0.0,6.0,6.0,0.0,0.0,12.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
Discicle,0.0,0.0,0.0,0.0,0.0,0.0,
Dodeglinhass,0.0,6.0,6.0,0.0,0.0,12.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
EduardoWaski,10.0,6.0,6.0,6.0,7.0,29.0,
EhOBruno,10.0,6.0,6.0,0.0,0.0,22.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
EliasOliver21,6.0,2.5,5.0,3.0,0.0,16.5,
EnzoEmir,0.0,0.0,0.0,0.0,0.0,0.0,
Ericcs10,0.0,0.0,6.0,0.33,2.92,9.25,
Erick-ems,10.0,0.0,5.0,6.0,7.0,28.0,
EstherSousa,0.0,0.0,0.0,0.0,0.0,0.0,
GFlyan,0.0,6.0,6.0,6.0,7.0,25.0,
GabrielMEsteves,0.0,3.5,4.44,3.0,4.08,15.03,
GabrielSPinto,10.0,6.0,6.0,0.0,0.0,22.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
GabrielaTiago,0.0,6.0,5.0,5.67,5.83,22.5,
Gam13,0.0,6.0,0.0,2.67,5.25,13.92,
Goizzz,0.0,6.0,6.0,0.0,0.0,12.0,lox/grammar.lark|lox/transformer.py
Guilermanoo,0.0,0.0,6.0,0.0,0.0,6.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
Guilherme-Moura,0.0,6.0,0.0,5.33,5.25,16.58,
HladczukLe,0.0,0.0,6.0,2.75,7.0,15.75,
IanLucca12,0.0,6.0,6.0,3.0,7.0,22.0,
Igor-Thiago,0.0,2.5,0.0,0.0,0.0,2.5,
IgorJustino,0.0,0.0,5.0,3.75,1.75,10.5,
Izarias,0.0,0.0,6.0,6.0,7.0,19.0,
JAugustoM,0.0,1.0,0.0,6.0,7.0,14.0,
Jagaima,0.0,3.0,0.0,3.75,0.0,6.75,
JoaoPC10,0.0,6.0,0.0,0.0,0.0,6.0,lox/grammar.lark|lox/transformer.py
JoaoPedrooSS,10.0,6.0,6.0,0.0,0.0,22.0,lox/ast.py|lox/grammar.lark
JoseViniciusQueiroz,0.0,0.0,0.0,0.0,0.0,0.0,
JuliaGabP,0.0,6.0,0.0,0.0,0.0,6.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
LuGit00,0.0,0.0,0.0,0.0,0.0,0.0,
Lucas13032003,10.0,6.0,5.0,6.0,7.0,29.0,
LucasItacaramby,0.0,0.0,0.0,4.0,7.0,11.0,
Luiz-GL-Campos,0.0,2.5,0.0,0.0,0.0,2.5,
M4RINH0,0.0,6.0,6.0,0.0,0.0,12.0,lox/grammar.lark|lox/transformer.py
MM4k,10.0,6.0,5.0,6.0,7.0,29.0,
Mach1r0,10.0,6.0,6.0,6.0,7.0,29.0,
MarcoTulioSoares,0.0,0.0,6.0,0.0,0.0,6.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
MateuSansete,10.0,6.0,3.0,6.0,5.25,27.25,
Matheus-0217,0.0,0.0,0.0,0.0,0.0,0.0,
MatheussBrant,0.0,6.0,6.0,6.0,7.0,25.0,
MylenaTrindade,0.0,6.0,0.0,0.0,0.0,6.0,lox/ast.py|lox/transformer.py
Nicollaxs,0.0,5.0,5.0,6.0,7.0,23.0,
Oleari19,0.0,6.0,6.0,0.0,0.0,12.0,lox/grammar.lark
OrlandiRodrigo,0.0,6.0,6.0,0.0,0.0,12.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
Pabloo8,0.0,6.0,6.0,0.0,0.0,12.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
PedroHenrique061,0.0,6.0,6.0,0.0,0.0,12.0,lox/ast.py|lox/grammar.lark|lox/transformer.py
PedroTorreao21,0.0,6.0,0.0,0.0,0.0,6.0,
Prg-maker,0.0,0.0,0.0,0.0,0.0,0.0,
RR2M4A,0.0,6.0,6.0,6.0,7.0,25.0,
Renurin,0.0,0.0,0.0,0.0,0.0,0.0,
